x y
792.9964950573167 197.01393979561698
786.6464869724905 195.60850980689014
411.2462390261471 889.8744301026367
411.3622159962379 909.5495095332273
104.55203201460003 408.4177465134798
698.9321987742708 706.2542900164644
1289.875429353928 1488.8608788138893
94.41127311373009 398.8540608330864
107.2274433861224 395.7323033827844
106.59354120514122 411.91156795467276
700.244344004828 700.2195804883017
112.65944950360279 393.74114943262737
1300.1326512007854 1482.5355068727474
706.1136800646838 703.3248833866318
1306.632522327041 1501.5883212609683
1306.2369631940894 1486.3008933707638
702.0125193170653 688.112946039653
804.8024745258256 199.87618913479287
1280.5428826710954 1494.8615813608506
397.4233392956734 903.6653938563255
803.251170000117 204.25066289563335
383.98843290618527 891.5873793547999
405.80681946282164 894.4019712571146
816.0622352974405 200.40744862915446
1290.2090231550626 1507.930552914797
101.51460892388862 394.9395833148706
699.6556477773586 708.2745713622297
795.9635372201677 219.4236215404645
792.9957754192736 209.95734017897237
799.4890434628279 200.41623802310477
711.4881130079656 705.8371366300348
406.3320696620189 899.2316770025614
407.6862626027214 890.9031067525741
1293.6406145113197 1495.2468844832508
83.74967405479615 394.1839006172818
103.68052416070354 412.36608865321506
395.4526731795604 895.5640031986336
1302.1797997371937 1494.0985522966655
689.5347254409382 698.8421088762962
407.9265537171463 900.3807609929942
1301.603980596794 1513.8229438000242
798.4860016464878 185.3331684140203
1301.5983284169988 1497.6146390285514
695.3616957350486 704.3087204925067
709.8914755634739 692.1908141686044
389.38572221835017 911.2415532166561
800.9295549274309 203.7639753095328
688.9334792791032 700.1279095411685
106.55306214104183 397.0780982308267
115.54905195627147 397.8693111888023
